condition,seed,evaluation_seed,covered,total,deployment_covered,target,empirical_acceptance_threshold,n_calibration,xi_near,xi_far
aligned,111000001,111200001,100,100,100,0.99,0.95,199,0.0,0.0
easy,111000001,111300001,100,100,100,0.99,0.95,199,0.022136026189534024,0.025054010051844645
hard,111000001,111400001,100,100,100,0.99,0.95,199,0.04779315809074445,0.05011064674802458
aligned,112000001,112200001,100,100,100,0.99,0.95,199,0.0,0.0
easy,112000001,112300001,98,100,98,0.99,0.95,199,0.02220797037573035,0.025053969240803883
hard,112000001,112400001,100,100,100,0.99,0.95,199,0.047807839803426226,0.05011055471759527
aligned,113000001,113200001,100,100,100,0.99,0.95,199,0.0,0.0
easy,113000001,113300001,96,100,96,0.99,0.95,199,0.022105322769173017,0.02505395570116774
hard,113000001,113400001,99,100,99,0.99,0.95,199,0.047697404496918484,0.050110488254822144
aligned,114000001,114200001,100,100,100,0.99,0.95,199,0.0,0.0
easy,114000001,114300001,99,100,99,0.99,0.95,199,0.021974212847306496,0.025053962950575607
hard,114000001,114400001,99,100,99,0.99,0.95,199,0.04755682968617269,0.05011044015772685
aligned,115000001,115200001,100,100,100,0.99,0.95,199,0.0,0.0
easy,115000001,115300001,99,100,99,0.99,0.95,199,0.02194046661012052,0.02505395054547751
hard,115000001,115400001,100,100,100,0.99,0.95,199,0.047547296762320355,0.050110418849512055
