condition,seed,method,unique_nodes,node_interval_checks,infeasible_nodes,infeasible_node_intervals,minimum_margin
aligned,111000001,cbvf,2700,32274200,0,0,0.07815763928849538
aligned,111000001,cp,2700,32274200,0,0,0.07815763928849538
easy,111000001,cbvf,2700,32274200,0,0,0.07815763928849538
easy,111000001,cp,2700,32274200,0,0,0.05602161309896136
hard,111000001,cbvf,2700,32274200,0,0,0.07815763928849538
hard,111000001,cp,2700,32274200,0,0,0.030364481197750932
aligned,112000001,cbvf,2700,32274200,0,0,0.07815763928849538
aligned,112000001,cp,2700,32274200,0,0,0.07815763928849538
easy,112000001,cbvf,2700,32274200,0,0,0.07815763928849538
easy,112000001,cp,2700,32274200,0,0,0.05594966891276503
hard,112000001,cbvf,2700,32274200,0,0,0.07815763928849538
hard,112000001,cp,2700,32274200,0,0,0.030349799485069155
aligned,113000001,cbvf,2700,32274200,0,0,0.07815763928849538
aligned,113000001,cp,2700,32274200,0,0,0.07815763928849538
easy,113000001,cbvf,2700,32274200,0,0,0.07815763928849538
easy,113000001,cp,2700,32274200,0,0,0.05605231651932237
hard,113000001,cbvf,2700,32274200,0,0,0.07815763928849538
hard,113000001,cp,2700,32274200,0,0,0.030460234791576897
aligned,114000001,cbvf,2700,32274200,0,0,0.07815763928849538
aligned,114000001,cp,2700,32274200,0,0,0.07815763928849538
easy,114000001,cbvf,2700,32274200,0,0,0.07815763928849538
easy,114000001,cp,2700,32274200,0,0,0.056183426441188886
hard,114000001,cbvf,2700,32274200,0,0,0.07815763928849538
hard,114000001,cp,2700,32274200,0,0,0.03060080960232269
aligned,115000001,cbvf,2700,32274200,0,0,0.07815763928849538
aligned,115000001,cp,2700,32274200,0,0,0.07815763928849538
easy,115000001,cbvf,2700,32274200,0,0,0.07815763928849538
easy,115000001,cp,2700,32274200,0,0,0.056217172678374866
hard,115000001,cbvf,2700,32274200,0,0,0.07815763928849538
hard,115000001,cp,2700,32274200,0,0,0.030610342526175026
