condition,seed,trace,method,intervals,active_intervals,subinterval_checks,failures,max_endpoint_error,max_lipschitz_excess,min_true_interval_bound,minimum_feasibility_margin,model_safe_true_negative_intervals
aligned,111000001,calibration,cbvf,3937,2699,15748,0,2.55351295663786e-14,0.0,0.019239811305934933,0.14580580126103404,0
aligned,111000001,heldout_deployment,cp,3940,2698,15760,0,2.581268532253489e-14,0.0,0.019604071257404182,0.1461620491869567,0
aligned,111000001,heldout_reference,cbvf,3940,2698,15760,0,2.581268532253489e-14,0.0,0.019604071257404182,0.1461620491869567,0
aligned,111000001,performance_cbvf,cbvf,3950,2699,15800,0,2.4202861936828413e-14,0.0,0.018617709732125287,0.14527282362141963,0
aligned,111000001,performance_cp,cp,3950,2699,15800,0,2.4202861936828413e-14,0.0,0.018617709732125287,0.14527282362141963,0
aligned,111000001,performance_nominal,nominal,3950,0,15800,0,2.4202861936828413e-14,0.0,0.018617709732125287,,0
easy,111000001,calibration,cbvf,5423,4179,21692,0,6.217248937900877e-15,0.0,0.002356321607356245,0.06854914367185345,0
easy,111000001,heldout_deployment,cp,5506,4276,22024,0,7.882583474838611e-15,0.0,0.023753237239438736,0.04543582662020376,0
easy,111000001,heldout_reference,cbvf,5418,4188,21672,0,6.356026815979021e-15,0.0,0.002288714497244892,0.06662993001748602,0
easy,111000001,performance_cbvf,cbvf,5413,4182,21652,0,6.5503158452884236e-15,0.0,0.0023431098548814568,0.06810188037729688,0
easy,111000001,performance_cp,cp,5498,4267,21992,0,7.271960811294775e-15,0.0,0.023807163897658013,0.04695413419473591,0
easy,111000001,performance_nominal,nominal,5298,0,21192,0,4.6629367034256575e-15,0.0,-0.06919507467159162,,0
hard,111000001,calibration,cbvf,3385,2148,13540,0,6.661338147750939e-16,0.0,-0.010984071646495652,0.06276985422297462,1387
hard,111000001,heldout_deployment,cp,10528,4791,42112,0,6.661338147750939e-16,0.0,0.03491554535946196,0.06688548428556262,0
hard,111000001,heldout_reference,cbvf,3435,2189,13740,0,6.661338147750939e-16,0.0,-0.010596978000483221,0.059683777382760775,1421
hard,111000001,performance_cbvf,cbvf,3357,2109,13428,0,6.661338147750939e-16,0.0,-0.01138837813200445,0.06620644822966078,1354
hard,111000001,performance_cp,cp,10589,4792,42356,0,6.661338147750939e-16,0.0,0.03417939036596836,0.0705493404176561,0
hard,111000001,performance_nominal,nominal,2258,0,9032,0,9.992007221626409e-16,0.0,-0.2854932614037631,,0
aligned,112000001,calibration,cbvf,3973,2694,15892,0,5.773159728050814e-15,0.0,0.01435992386715465,0.141419803716504,0
aligned,112000001,heldout_deployment,cp,3962,2708,15848,0,6.161737786669619e-15,0.0,0.004514018629512041,0.1276171520407623,0
aligned,112000001,heldout_reference,cbvf,3962,2708,15848,0,6.161737786669619e-15,0.0,0.004514018629512041,0.1276171520407623,0
aligned,112000001,performance_cbvf,cbvf,3962,2704,15848,0,5.9396931817445875e-15,0.0,0.004532511113880763,0.1311406031082721,0
aligned,112000001,performance_cp,cp,3962,2704,15848,0,5.9396931817445875e-15,0.0,0.004532511113880763,0.1311406031082721,0
aligned,112000001,performance_nominal,nominal,3962,0,15848,0,5.828670879282072e-15,0.0,0.0031437179857801284,,0
